bus,station,ID,ARS,lng,lat,geton,getoff,transfer
N406,서울역버스환승센터,101000004,2004,126.9725522,37.55547764,128818,114194,91355.2
N406,삼성본관앞,101000034,2131,126.9760491,37.56201768,26720,17910,4298.4
N406,시청앞,101000033,2128,126.9764872,37.56260691,20809,44905,12573.4
N406,세종문화회관,100000031,1126,126.9767122,37.57266095,14727,14182,2836.4
N406,덕성여중고,100000035,1130,126.9819731,37.57573943,17232,19917,4780.08
N406,조계사,100000105,1201,126.98307,37.57236082,33164,24864,5967.36
N406,우리은행종로지점,101000040,2139,126.9827971,37.56752226,44180,37264,17886.72
N406,롯데영프라자,101000043,2142,126.9819218,37.56300813,83409,80116,60888.16
N406,남산3호터널.서울애니메이션센터,101000049,2148,126.9825662,37.5595072,11315,27173,4347.68
N406,용암초등학교입구.이태원주공아파트,102000054,3148,126.9886109,37.54376457,11844,16947,2033.64
N406,이태원동남산대림아파트.용산동아파트,102000055,3149,126.9873586,37.53974646,18348,12560,1507.2
N406,국군재정관리단,102000058,3152,126.9868243,37.53712103,9620,20011,2401.32
N406,용산구청.크라운호텔,102000059,3153,126.991106,37.53025072,22774,23805,4761
N406,한강중학교,102000061,3155,126.9920733,37.52537977,25605,35009,7001.8
N406,반포대교남단 한강시민공원입구,121000302,22381,126.9996164,37.50762076,1320,14245,1709.4
N406,고속터미널,121000019,22019,127.0052627,37.50633499,203602,113573,45429.2
N406,신논현역.구교보타워사거리,121000096,22172,127.025122,37.50287594,45287,17502,2100.24
N406,지하철2호선강남역,121000011,22011,127.0257283,37.50160933,126464,172756,89833.12
N406,신분당선강남역,121000009,22009,127.0283494,37.49602648,88507,106816,46999.04
N406,수협서초지점,121000055,22131,127.0296161,37.49338614,13750,16921,2030.52
N406,우성아파트,122000328,23436,127.0682658,37.50118193,6410,6235,249.4
N406,뱅뱅사거리,121000005,22005,127.0323669,37.48759241,33202,48479,23269.92
N406,양재역,121000213,22289,127.0349993,37.483382,11739,10713,857.04
N406,매봉역,122000219,23323,127.0449095,37.4860326,5758,10663,853.04
N406,도곡개포한신아파트,122000220,23324,127.0493405,37.48798402,2311,7747,619.76
