bus,station,ID,ARS,lng,lat,geton,getoff,transfer
N1,쌍문역,109000015,10015,127.0347521,37.64882356,64184,138352,55340.8
N1,우이1교앞,109000017,10017,127.0326524,37.64529302,47951,22341,8936.4
N1,수유3동우체국,108000001,9001,127.0290061,37.64126603,57318,54097,21638.8
N1,수유(강북구청)역,108000378,9013,127.0260369,37.63852004,128098,135594,70508.88
N1,수유시장.성신여대미아캠퍼스앞,108000005,9005,127.0241828,37.63122907,126139,85358,54629.12
N1,미아역.신일중고,108000007,9007,127.0266556,37.62487126,89958,66711,42695.04
N1,도봉세무서.성북시장,108000009,9009,127.0287005,37.61970957,68426,69463,44456.32
N1,미아사거리역,108000011,9011,127.0300023,37.61376514,194669,132194,84604.16
N1,현대백화점,107000233,8329,127.0292024,37.60789911,8734,10659,426.36
N1,월곡뉴타운,107000001,8001,127.028232,37.60688977,59005,58303,32649.68
N1,길음뉴타운,107000003,8003,127.0241845,37.60360938,106924,109449,74425.32
N1,미아리고개.미아리예술극장,107000005,8005,127.0216801,37.5988125,94317,94145,67784.4
N1,돈암사거리.성신여대입구,107000007,8007,127.018087,37.59377511,86353,137495,98996.4
N1,성신여대입구역,107000174,8269,127.016266,37.5933999,9266,18108,724.32
N1,삼선동주민센터,107000085,8175,127.0144094,37.59065882,33832,41969,8393.8
N1,성북구청.성북경찰서,107000087,8177,127.0173203,37.58829056,39888,31197,6239.4
N1,보문역,107000089,8179,127.019299,37.585282,27940,27757,4441.12
N1,보문동주민센터,107000093,8183,127.0218797,37.58045694,18764,14558,1746.96
N1,신설동로터리,100000147,1243,127.0229469,37.57585614,16961,46399,7423.84
N1,동묘앞,100000366,1041,127.017533,37.573432,67720,35117,18260.84
N1,동대문역.흥인지문,100000398,1023,127.0134621,37.57228008,121665,93103,55861.8
N1,동대문(흥인지문),100000365,1037,127.0124928,37.57216719,73851,111134,66680.4
N1,종로6가.동대문종합시장,100000396,1021,127.0034688,37.57091778,87252,38561,15424.4
N1,종로5가.효제초등학교,100000109,1205,127.002028,37.57288183,38025,23150,9260
N1,종로4가.종묘,100000392,1017,126.9947287,37.57041688,49849,42591,25554.6
N1,종로2가,100000388,1013,126.9855411,37.57008725,98985,73506,49984.08
N1,종로1가,100000386,1011,126.981,37.570072,94948,74946,38971.92
N1,시청앞,101000033,2128,126.9764872,37.56260691,20809,44905,12573.4
N1,삼성본관앞,101000034,2131,126.9760491,37.56201768,26720,17910,4298.4
N1,숭례문.한국일보,101000023,2118,126.9738535,37.55870646,14803,12351,1976.16
N1,서울역버스환승센터,101000004,2004,126.9725522,37.55547764,128818,114194,91355.2
N1,서울역버스환승센터,101000006,2006,126.9727727,37.55547526,95004,77494,34097.36
N1,시청앞,101000035,2132,126.9763191,37.56272336,11522,1952,234.24
N1,종로1가,100000387,1012,126.9813906,37.57026661,80010,82728,46327.68
N1,종로2가,100000389,1014,126.986254,37.57026795,97392,88292,60038.56
N1,종로4가.종묘,100000393,1018,126.995277,37.57060029,28494,57992,27836.16
N1,종로6가.동대문종합시장,100000397,1022,127.0057094,37.57115181,50812,79836,35127.84
N1,동묘앞,100000367,1044,127.019639,37.57430372,67717,83316,49989.6
N1,보문동주민센터,107000094,8184,127.0226003,37.5793832,17335,19602,2352.24
N1,보문역,107000090,8180,127.0198766,37.58445128,17847,18066,2167.92
N1,성북구청.성북경찰서,107000088,8178,127.0171651,37.58855494,34942,42199,8439.8
N1,삼선동주민센터,107000086,8176,127.014621,37.59061886,36499,38995,7799
N1,성신여대입구역,107000175,8270,127.0163395,37.59347679,7874,7912,316.48
N1,돈암사거리.성신여대입구,107000008,8008,127.0178187,37.59332094,185991,131704,94826.88
N1,미아리고개.미아리예술극장,107000006,8006,127.0217898,37.59792335,79138,84437,60794.64
N1,길음뉴타운,107000004,8004,127.0236778,37.60319108,69269,73730,44238
N1,월곡뉴타운,107000002,8002,127.0273788,37.60599704,48689,63812,35734.72
N1,미아사거리역,108000012,9012,127.0302404,37.61289695,191772,222976,151623.68
N1,도봉세무서.성북시장,108000010,9010,127.0292315,37.61883281,50885,79720,51020.8
N1,미아역.신일중고,108000008,9008,127.0271522,37.6241142,66798,91790,58745.6
N1,수유시장.성신여대미아캠퍼스앞,108000006,9006,127.0246947,37.63056352,97616,106665,68265.6
N1,수유3동우체국,108000002,9002,127.0286314,37.64069667,35813,45307,18122.8
N1,우이1교앞,109000018,10018,127.0324639,37.64466342,18853,49434,17796.24
N1,쌍문역,109000016,10016,127.0344825,37.64806304,124178,57605,20737.8
N343,수서역,122000295,23402,127.1005427,37.48815127,2039,203,8.12
N343,고속철도수서역,122000717,23320,127.103707,37.48488229,1063,330,13.2
N343,수서역.로즈데일빌딩,122000303,23410,127.1027879,37.48756378,24237,11321,1358.52
N343,수서역KT수서지점,122000296,23403,127.1000246,37.48841254,58,1447,57.88
N343,아주중학교,123000067,24156,127.0770059,37.50498632,8707,4092,163.68
N343,잠실근린공원.성현교회,123000073,24162,127.0814862,37.50629442,11507,8003,640.24
N343,잠실우성4차현대아파트,123000071,24160,127.0852016,37.50524883,10011,9643,771.44
N343,삼전역,123000077,24166,127.0890116,37.50404633,13651,12283,982.64
N343,송파구민회관구의회,123000079,24168,127.0947557,37.50269895,10902,11978,958.24
N343,석촌고분역.올림픽병원,123000089,24178,127.0984058,37.50258721,8205,13927,1114.16
N343,석촌동한솔아파트앞,123000091,24180,127.1052982,37.50448852,16486,12050,964
